都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_通称,POIコード,住所,方書,緯度,経度,電話番号,内線番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能時間特記事項,説明,バリアフリー情報,URL,備考
303046,68,和歌山県,紀美野町,第16分団格納庫,ダイジュウロクブンダンカクノウコ,,,和歌山県海草郡紀美野町円明寺203-1,,34.16843,135.41273,,,,,,,,,,,,
303046,69,和歌山県,紀美野町,地域資源総合開発センター,チイキシゲンソウゴウカイハツセンター,,,和歌山県海草郡紀美野町神野市場234-1,,34.14992,135.35559,,,,,,,,,,,,
303046,70,和歌山県,紀美野町,農家高齢者創作館,ノウカコウレイシャソウサクカン,,,和歌山県海草郡紀美野町津川1-1,,34.14948,135.35803,,,,,,,,,,,,
303046,71,和歌山県,紀美野町,梅本産品加工所,ウメモトサンヒンカコウショ,,,和歌山県海草郡紀美野町梅本24-1,,34.1312,135.3247,,,,,,,,,,,,
303046,72,和歌山県,紀美野町,津川産品加工所,ツガワサンヒンカコウショ,,,和歌山県海草郡紀美野町津川267,,34.15264,135.3712,,,,,,,,,,,,
303046,73,和歌山県,紀美野町,きみのこども園,キミノコドモエン,,,和歌山県海草郡紀美野町動木156,,34.16465,135.30645,(073)489-2144,,,,,,,,,,,
303046,74,和歌山県,紀美野町,こうのこども園,コウノコドモエン,,,和歌山県海草郡紀美野町神野市場216,,34.15009,135.35219,(073)495-2049,,,,,,,,,,,
303046,75,和歌山県,紀美野町,動木児童館,トドロキジドウカン,,,和歌山県海草郡紀美野町動木58-1,,34.16685,135.30488,,,,,,,,,,,,
303046,76,和歌山県,紀美野町,中央児童館,チュウオウジドウカン,,,和歌山県海草郡紀美野町下佐々173,,34.1578,135.31203,,,,,,,,,,,,
303046,77,和歌山県,紀美野町,吉見児童館,ヨシミジドウカン,,,和歌山県海草郡紀美野町下佐々1752-2,,34.15672,135.30651,,,,,,,,,,,,
303046,78,和歌山県,紀美野町,みさと天文台,ミサトテンモンダイ,,,和歌山県海草郡紀美野町松ヶ峯180,,34.14445,135.40686,(073)498-0305,,,,,,,,,,,
303046,79,和歌山県,紀美野町,小畑集会所,ショウバタシュウカイショ,,,和歌山県海草郡紀美野町小畑107,,34.16355,135.29387,,,,,,,,,,,,
303046,80,和歌山県,紀美野町,かしかわ未来づくりセンター,カシカワミライヅクリセンター,,,和歌山県海草郡紀美野町小畑814-4,,34.17061,135.30586,,,,,,,,,,,,
303046,81,和歌山県,紀美野町,かしこ荘,カシコソウ,,,和歌山県海草郡紀美野町小畑836-2,,34.17385,135.30676,,,,,,,,,,,,
303046,82,和歌山県,紀美野町,動木集会所,トドロキシュウカイショ,,,和歌山県海草郡紀美野町動木227-1,,34.16548,135.30669,,,,,,,,,,,,
303046,83,和歌山県,紀美野町,芝崎集会所,シバサキシュウカイショ,,,和歌山県海草郡紀美野町動木363-1,,34.16975,135.30928,,,,,,,,,,,,
303046,84,和歌山県,紀美野町,緑ヶ丘集会所,ミドリガオカシュウカイショ,,,和歌山県海草郡紀美野町動木566-5,,34.17539,135.31274,,,,,,,,,,,,
303046,85,和歌山県,紀美野町,山畑集会所,ヤマハタシュウカイショ,,,和歌山県海草郡紀美野町動木859-3,,34.17111,135.32132,,,,,,,,,,,,
303046,86,和歌山県,紀美野町,動木本郷集会所,トドロキホンゴウシュウカイショ,,,和歌山県海草郡紀美野町動木1390-1,,34.1635,135.30916,,,,,,,,,,,,
303046,87,和歌山県,紀美野町,平集会所,ヒラシュウカイショ,,,和歌山県海草郡紀美野町動木1879-1,,34.15523,135.30322,,,,,,,,,,,,
303046,88,和歌山県,紀美野町,柴目河南集会所,シバメカナンシュウカイショ,,,和歌山県海草郡紀美野町柴目355,,34.16976,135.33092,,,,,,,,,,,,
303046,89,和歌山県,紀美野町,柴目集会所,シバメシュウカイショ,,,和歌山県海草郡紀美野町柴目1131-1,,34.17227,135.32822,,,,,,,,,,,,
303046,90,和歌山県,紀美野町,長谷集会所,ナガタニシュウカイショ,,,和歌山県海草郡紀美野町長谷37-1,,34.18337,135.31661,,,,,,,,,,,,
303046,91,和歌山県,紀美野町,赤坂集会所,アカサカシュウカイショ,,,和歌山県海草郡紀美野町長谷359-2,,34.18871,135.31749,,,,,,,,,,,,
303046,92,和歌山県,紀美野町,大藪集会所,オオヤブシュウカイショ,,,和歌山県海草郡紀美野町長谷1165-2,,34.1833,135.33004,,,,,,,,,,,,
303046,93,和歌山県,紀美野町,下佐々東中町集会所,シモササヒガシナカマチシュウカイショ,,,和歌山県海草郡紀美野町下佐々493,,34.15716,135.31716,,,,,,,,,,,,
303046,94,和歌山県,紀美野町,下佐々コミュニティーセンター,シモササコミュニティーセンター,,,和歌山県海草郡紀美野町下佐々595-1,,34.15648,135.31483,,,,,,,,,,,,
303046,95,和歌山県,紀美野町,農業構造改善センター,ノウギョウコウゾウカイゾウセンター,,,和歌山県海草郡紀美野町下佐々1027-3,,34.155,135.31689,,,,,,,,,,,,
303046,96,和歌山県,紀美野町,下佐々河南集会所,シモササカナンシュウカイショ,,,和歌山県海草郡紀美野町下佐々1145,,34.15425,135.31777,,,,,,,,,,,,
303046,97,和歌山県,紀美野町,河南集会所,カナンシュウカイショ,,,和歌山県海草郡紀美野町下佐々1817,,34.15868,135.3086,,,,,,,,,,,,
303046,98,和歌山県,紀美野町,吉見集会所,ヨシミシュウカイショ,,,和歌山県海草郡紀美野町下佐々1752-1,,34.15673,135.30663,,,,,,,,,,,,
303046,99,和歌山県,紀美野町,吉野集会所,ヨシノシュウカイショ,,,和歌山県海草郡紀美野町吉野320-3,,34.15844,135.32924,,,,,,,,,,,,
303046,100,和歌山県,紀美野町,福井西集会所,フクイニシシュウカイショ,,,和歌山県海草郡紀美野町福井550,,34.14201,135.32522,,,,,,,,,,,,
303046,101,和歌山県,紀美野町,福井集会所,フクイシュウカイショ,,,和歌山県海草郡紀美野町福井1313-1,,34.1473,135.32705,,,,,,,,,,,,
303046,102,和歌山県,紀美野町,奥佐々集会所,オクササシュウカイショ,,,和歌山県海草郡紀美野町奥佐々449-1,,34.13076,135.32298,,,,,,,,,,,,
303046,103,和歌山県,紀美野町,中田集会所,ナカタシュウカイショ,,,和歌山県海草郡紀美野町中田331-1,,34.12263,135.32163,,,,,,,,,,,,
303046,104,和歌山県,紀美野町,梅本集会所,ウメモトシュウカイショ,,,和歌山県海草郡紀美野町梅本363-2,,34.12263,135.33059,,,,,,,,,,,,
303046,105,和歌山県,紀美野町,坂本集会所,サカモトシュウカイショ,,,和歌山県海草郡紀美野町坂本505,,34.1313,135.33623,,,,,,,,,,,,
303046,106,和歌山県,紀美野町,松瀬集会所,マツセシュウカイショ,,,和歌山県海草郡紀美野町松瀬250,,34.16075,135.34461,,,,,,,,,,,,
303046,107,和歌山県,紀美野町,国木原集会所,クニキハラシュウカイショ,,,和歌山県海草郡紀美野町国木原1,,34.1853,135.34146,,,,,,,,,,,,
303046,108,和歌山県,紀美野町,釜滝集会所,カマタキシュウカイショ,,,和歌山県海草郡紀美野町西野246-1,,34.17152,135.34027,,,,,,,,,,,,
303046,109,和歌山県,紀美野町,西野集会所,ニシノシュウカイショ,,,和歌山県海草郡紀美野町西野691,,34.16961,135.3499,,,,,,,,,,,,
303046,110,和歌山県,紀美野町,東野集会所,ヒガシノシュウカイショ,,,和歌山県海草郡紀美野町東野45-2,,34.16779,135.3566,,,,,,,,,,,,
303046,111,和歌山県,紀美野町,樋下集会所,ヒノシタシュウカイショ,,,和歌山県海草郡紀美野町樋下49-2,,34.14765,135.3592,,,,,,,,,,,,
303046,112,和歌山県,紀美野町,福田集会所,フクダシュウカイショ,,,和歌山県海草郡紀美野町福田143-1,,34.15663,135.34255,,,,,,,,,,,,
303046,113,和歌山県,紀美野町,野中集会所,ノナカシュウカイショ,,,和歌山県海草郡紀美野町野中31-1,,34.14467,135.34826,,,,,,,,,,,,
303046,114,和歌山県,紀美野町,安井集会所,ヤスイシュウカイショ,,,和歌山県海草郡紀美野町安井134-2,,34.1454,135.34505,,,,,,,,,,,,
303046,115,和歌山県,紀美野町,南畑集会所,ミナミハタシュウカイショ,,,和歌山県海草郡紀美野町南畑225,,34.13171,135.34676,,,,,,,,,,,,
303046,116,和歌山県,紀美野町,箕六集会所,ミロクシュウカイショ,,,和歌山県海草郡紀美野町箕六53,,34.12994,135.35535,,,,,,,,,,,,
303046,117,和歌山県,紀美野町,大角集会所,オオスミシュウカイショ,,,和歌山県海草郡紀美野町大角188-1,,34.15098,135.37072,,,,,,,,,,,,
303046,118,和歌山県,紀美野町,津川集会所,ツガワシュウカイショ,,,和歌山県海草郡紀美野町津川267,,34.15254,135.37111,,,,,,,,,,,,
303046,119,和歌山県,紀美野町,鎌滝集会所,カマタキシュウカイショ,,,和歌山県海草郡紀美野町鎌滝632,,34.14233,135.38358,,,,,,,,,,,,
303046,120,和歌山県,紀美野町,三尾川区民センター,ミオガワクミンセンター,,,和歌山県海草郡紀美野町三尾川429,,34.13884,135.37224,,,,,,,,,,,,
303046,121,和歌山県,紀美野町,三尾川集会所,ミオガワシュウカイショ,,,和歌山県海草郡紀美野町三尾川693,,34.13852,135.36491,,,,,,,,,,,,
303046,122,和歌山県,紀美野町,上ヶ井高齢者ふれあい憩いの家,アゲイコウレイシャフレアイイコイノイエ,,,和歌山県海草郡紀美野町上ヶ井28-1,,34.13366,135.36443,,,,,,,,,,,,
303046,123,和歌山県,紀美野町,赤木集会所,アカギシュウカイショ,,,和歌山県海草郡紀美野町赤木311,,34.13549,135.38618,,,,,,,,,,,,
303046,124,和歌山県,紀美野町,高畑高齢者ふれあい憩いの家,タカハタコウレイシャイコイノイエ,,,和歌山県海草郡紀美野町高畑85,,34.13753,135.39339,,,,,,,,,,,,
303046,125,和歌山県,紀美野町,桂瀬集会所,カツラセシュウカイショ,,,和歌山県海草郡紀美野町桂瀬127,,34.13573,135.40118,,,,,,,,,,,,
303046,126,和歌山県,紀美野町,国吉多目的集会所,クニヨシタモクテキシュウカイショ,,,和歌山県海草郡紀美野町田64,,34.14006,135.41578,,,,,,,,,,,,
303046,127,和歌山県,紀美野町,松ケ峯集会所,マツガミネシュウカイショ,,,和歌山県海草郡紀美野町松ヶ峯80,,34.14105,135.40846,,,,,,,,,,,,
303046,128,和歌山県,紀美野町,中集会所,ナカシュウカイショ,,,和歌山県海草郡紀美野町中83-2,,34.14014,135.42237,,,,,,,,,,,,
303046,129,和歌山県,紀美野町,谷高齢者ふれあい憩いの家,タニコウレイシャフレアイイコイノイエ,,,和歌山県海草郡紀美野町谷51,,34.146665,135.45022,,,,,,,,,,,,
303046,130,和歌山県,紀美野町,滝ノ川集会所,タキノガワシュウカイショ,,,和歌山県海草郡紀美野町滝ノ川402,,34.12973,135.42961,,,,,,,,,,,,
303046,131,和歌山県,紀美野町,毛原下集会所,ケバラシモシュウカイショ,,,和歌山県海草郡紀美野町毛原下95-1,,34.14377,135.44019,,,,,,,,,,,,
303046,132,和歌山県,紀美野町,転作研修会館,テンサクケンシュウカイカン,,,和歌山県海草郡紀美野町小西310-6,,34.14843,135.4489,,,,,,,,,,,,
303046,133,和歌山県,紀美野町,毛原中集会所,ケバラナカシュウカイショ,,,和歌山県海草郡紀美野町毛原中178-2,,34.15826,135.45678,,,,,,,,,,,,
303046,134,和歌山県,紀美野町,毛原宮多目的集会所,ケバラミヤシュウカイショ,,,和歌山県海草郡紀美野町毛原宮225-2,,34.1598,135.46111,,,,,,,,,,,,
303046,135,和歌山県,紀美野町,毛原上集会所,ケバラカミシュウカイショ,,,和歌山県海草郡紀美野町毛原上475-4,,34.16839,135.47074,,,,,,,,,,,,
303046,136,和歌山県,紀美野町,長谷宮集落センター,ハセミヤシュウラクセンター,,,和歌山県海草郡紀美野町長谷宮223-2,,34.18267,135.48006,,,,,,,,,,,,
303046,137,和歌山県,紀美野町,井堰集会所,イセキシュウカイショ,,,和歌山県海草郡紀美野町井堰318-1,,34.1712,135.36535,,,,,,,,,,,,
303046,138,和歌山県,紀美野町,蓑垣内集会所,ミノガイトシュウカイショ,,,和歌山県海草郡紀美野町蓑垣内231-2,,34.17094,135.3738,,,,,,,,,,,,
303046,139,和歌山県,紀美野町,蓑津呂集会所,ミノツロシュウカイショ,,,和歌山県海草郡紀美野町蓑津呂272,,34.17164,135.38466,,,,,,,,,,,,
303046,140,和歌山県,紀美野町,上真国多目的集会所,カミマクニタモクテキシュウカイショ,,,和歌山県海草郡紀美野町花野原351-6,,34.16884,135.3998,,,,,,,,,,,,
303046,141,和歌山県,紀美野町,初生谷集会所,ウイダニシュウカイショ,,,和歌山県海草郡紀美野町初生谷59-1,,34.16644,135.40107,,,,,,,,,,,,
303046,142,和歌山県,紀美野町,円明寺集会所,エンミョウジシュウカイショ,,,和歌山県海草郡紀美野町円明寺202-1,,34.16844,135.41194,,,,,,,,,,,,
303046,143,和歌山県,紀美野町,北野集会所,キタノシュウカイショ,,,和歌山県海草郡紀美野町北野179-1,,34.16833,135.40717,,,,,,,,,,,,
303046,144,和歌山県,紀美野町,勝谷集会所,カチヤシュウカイショ,,,和歌山県海草郡紀美野町勝谷181-2,,34.17108,135.43566,,,,,,,,,,,,
303046,145,和歌山県,紀美野町,四郷集会所,ヨゴウシュウカイショ,,,和歌山県海草郡紀美野町四郷134,,34.18027,135.41288,,,,,,,,,,,,
303046,146,和歌山県,紀美野町,中央公民館,チュウオウコウミンカン,,,和歌山県海草郡紀美野町動木288-4,,34.16715,135.30823,(073)489-2877,,,,,,,,,,,
303046,147,和歌山県,紀美野町,小川地区公民館,オガワチクコウミンカン,,,和歌山県海草郡紀美野町中田23,,34.13135,135.32415,(073)489-4511,,,,,,,,,,,
303046,148,和歌山県,紀美野町,志賀野地区公民館,シガノチクコウミンカン,,,和歌山県海草郡紀美野町西野22-1,,34.16831,135.35241,(073)489-5145,,,,,,,,,,,
303046,149,和歌山県,紀美野町,真国区民センター,マクニクミンセンター,,,和歌山県海草郡紀美野町真国宮32-2,,34.16969,135.37467,(073)497-0002,,,,,,,,,,,
303046,150,和歌山県,紀美野町,文化センター,ブンカセンター,,,和歌山県海草郡紀美野町神野市場218-1,,34.15123,135.35365,(073)495-9055,,,,,,,,,,,
303046,151,和歌山県,紀美野町,自然体験世代交流センター,シゼンタイケンセダイコウリュウセンター,,,和歌山県海草郡紀美野町鎌滝636,,34.14206,135.38357,(073)495-3127,,,,,,,,,,,
303046,152,和歌山県,紀美野町,総合福祉センター,ソウゴウフクシセンター,,,和歌山県海草郡紀美野町下佐々1408-4,,34.15193,135.31082,(073)489-9960,,,,,,,,,,,
303046,153,和歌山県,紀美野町,長谷毛原健康センター,ハセケバラケンコウセンター,,,和歌山県海草郡紀美野町毛原宮172-2,,34.15983,135.46157,(073)499-0610,,,,,,,,,,,
