都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_通称,名称_英語,文化財分類,種類,場所名称,住所,方書,緯度,経度,電話番号,内線番号,員数（数）,員数（単位）,法人番号,所有者等,文化財指定日,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,画像,画像_ライセンス,概要,概要_英語,説明,説明_英語,URL,備考
303046,11,和歌山県,紀美野町,上南家住宅コナシヤ,ウエミナミケジュウタクコナシヤ,,,登録有形文化財,建造物,上南家住宅,和歌山県海草郡紀美野町谷667,,34.14723,135.41841,,,1,棟,,個人所有,2019/3/29,,,,,,,,,,,,
303046,12,和歌山県,紀美野町,上南家住宅長門屋,ウエミナミケジュウタクナガトヤ,,,登録有形文化財,建造物,上南家住宅,和歌山県海草郡紀美野町谷667,,34.14723,135.41841,,,1,棟,,個人所有,2019/3/29,,,,,,,,,,,,
303046,13,和歌山県,紀美野町,野上八幡神社絵馬殿,ノカミハチマンジンジャエマデン,,,県指定文化財,建造物,野上八幡宮,和歌山県海草郡紀美野町小畑625,,34.16582,135.29403,(073)489-2162,,1,棟,,野上八幡宮,1962/2/13,,,,,,,,,,,,
303046,14,和歌山県,紀美野町,国吉熊野神社石造宝篋印塔,クニヨシクマノジンジャセキゾウホウキョウイントウ,,,県指定文化財,建造物,熊野神社,和歌山県海草郡紀美野町田22,,34.14208,135.41506,(073)489-0246,,1,基,,熊野神社,1965/9/20,,,,,,,,,,,,
303046,15,和歌山県,紀美野町,木造阿弥陀如来坐像,モクゾウアミダニョライザゾウ,大日寺木造阿弥陀如来坐像,,県指定文化財,美術工芸品,大日寺,和歌山県海草郡紀美野町毛原宮242,,34.16028,135.46064,,,1,躯,,大日寺,1980/2/16,,,,,,,,,,,,
303046,16,和歌山県,紀美野町,木造阿弥陀如来坐像,モクゾウアミダニョライザゾウ,龍福寺木造阿弥陀如来坐像,,県指定文化財,美術工芸品,高畑地区,和歌山県海草郡紀美野町高畑869,,34.13802,135.39353,,,1,躯,,龍福寺,1980/2/16,,,,,,,,,,,,
303046,17,和歌山県,紀美野町,岡本家文書,オカモトケブンショ,,,県指定文化財,その他,岡本家 ,和歌山県海草郡紀美野町福田211      ,,34.15493,135.34421,,,930,点,,個人所有,1977/3/16,,,,,,,,,,,,
303046,18,和歌山県,紀美野町,国木原ノダフジの大樹 ,クニキハラノダフジノタイジュ,,,県指定文化財,その他,国木原地区 ,和歌山県海草郡紀美野町国木原85-1      ,,34.18641,135.34181,,,1,本,,個人所有,1966/12/9,,,,,,,,,,,,
303046,19,和歌山県,紀美野町,釜滝の甌穴 ,カマタキノオウケツ   ,,,県指定文化財,その他,釜滝地区 ,和歌山県海草郡紀美野町釜滝      ,,34.16544,135.34881,,,1,ヶ所,,紀美野町,1971/3/22,,,,,,,,,,,,
303046,20,和歌山県,紀美野町,丹生神社のイチョウ,ニュウジンジャノイチョウ,,,県指定文化財 ,その他,丹生神社,和歌山県海草郡紀美野町長谷宮238      ,,34.18273,135.48057,,,1,本,,丹生神社,1978/8/18,,,,,,,,,,,,
303046,21,和歌山県,紀美野町,善福寺のカヤ ,ゼンプクジノカヤ   ,,,県指定文化財 ,その他,善福寺 ,和歌山県海草郡紀美野町勝谷243,,34.17167,135.43931,,,1,本,,善福寺 ,1978/8/18,,,,,,,,,,,,
303046,22,和歌山県,紀美野町,箕六弁財天社のカツラ,ミロクベンザイテンシャノカツラ,,,県指定文化財 ,その他,箕六弁財天社 ,和歌山県海草郡紀美野町箕六218,,34.11766,135.35401,,,1,本,,箕六弁財天社,1978/8/18,,,,,,,,,,,,
303046,23,和歌山県,紀美野町,紀美野町のヒダリマキガヤ群 ,キミノチョウノヒダリマキガヤグン,,,県指定文化財 ,その他,町内13ヶ所,,,,,,,13,本,,個人所有,2019/2/7,,,,,,,,,,,,
303046,24,和歌山県,紀美野町,ブドウハゼの原木 ,ブドウハゼノゲンボク,,,県指定文化財,その他,松瀬地区,和歌山県海草郡紀美野町松瀬331-1,,,,,,1,本,,個人所有,2020/1/23,,,,,,,,,,,,
303046,25,和歌山県,紀美野町,梅中傘踊り,バイチュウカサオドリ,,,町指定文化財,芸能,梅本地区          ,,,,,,,1,式,,小川郷土芸能保存会,1987/2/1,,,,,,,,,,,,
303046,26,和歌山県,紀美野町,野上八幡宮獅子舞 ,ノカミハチマングウシシマイ,,,町指定文化財,芸能,野上八幡宮,和歌山県海草郡紀美野町小畑625    ,,34.16582,135.29403,(073)489-2162,,1,式,,野上八幡宮獅子舞保存会 ,2010/3/11,,,,,,,,,,,,
303046,27,和歌山県,紀美野町,遍照寺の弘法大師像,ヘンショウジノコウボウタイシゾウ,,,町指定文化財,美術工芸品,遍照寺,和歌山県海草郡紀美野町津川551,,34.15621,135.38126,,,1,躯,,遍照寺,2010/3/11,,,,,,,,,,,,
