NO,名称,名称_カナ,住所,方書,緯度,経度,標高,電話番号,内線番号,市区町村コード,都道府県名,市区町村名,災害種別_洪水,災害種別_崖崩れ、土石流及び地滑り,災害種別_高潮,災害種別_地震,災害種別_津波,災害種別_大規模な火事,災害種別_内水氾濫,災害種別_火山現象,指定避難所との重複,想定収容人数,対象となる町会・自治会,URL,備考
28,下神野小学校体育館,シモコウノショウガッコウタイイクカン,和歌山県海草郡紀美野町神野市場214,,34.159664,135.461817,,(073)495-2019,,303046,和歌山県,紀美野町,1,1,,1,,,,,1,214人（2.7平方メートルあたり1人）,,http://www.shimoes.town.kimino.wakayama.jp/,
29,神野市場交流ふれあいセンター,コウノイチバコウリュウフレアイセンター,和歌山県海草郡紀美野町神野市場269,,34.149256,135.355772,,,,303046,和歌山県,紀美野町,1,1,,1,,,,,1,28人（2平方メートルあたり1人）,,,
30,樋下高齢者ふれあい憩いの家,ヒノシタコウレイシャフレアイイコイノイエ,和歌山県海草郡紀美野町樋下49-2,,34.147752,135.359156,,,,303046,和歌山県,紀美野町,,1,,1,,,,,1,12人（2.1平方メートルあたり1人）,,,
31,津川集会所,ツガワシュウカイショ,和歌山県海草郡紀美野町津川267,,34.152331,135.370771,,,,303046,和歌山県,紀美野町,,,,1,,,,,1,23人（2平方メートルあたり1人）,,,
32,箕六高齢者ふれあい憩いの家,ミロクコウレイシャフレアイイコイノイエ,和歌山県海草郡紀美野町箕六53,,34.126976,135.359721,,,,303046,和歌山県,紀美野町,1,1,,1,,,,,1,14人（2平方メートルあたり1人）,,,
33,三尾川区民センター,ミオガワクミンセンター,和歌山県海草郡紀美野町三尾川429,,34.142532,135.376438,,,,303046,和歌山県,紀美野町,,1,,1,,,,,1,25人（2平方メートルあたり1人）,,,
34,旧上神野小学校体育館,キュウカミコウノショウガッコウタイイクカン,和歌山県海草郡紀美野町鎌滝107,,34.142054,135.383586,,,,303046,和歌山県,紀美野町,,,,1,,,,,1,149人（2.7平方メートルあたり1人）,,,
35,自然体験世代交流センター,シゼンタイケンセダイコウリュウセンター,和歌山県海草郡紀美野町鎌滝636,,34.147465,135.350374,,(073)495-3127,,303046,和歌山県,紀美野町,1,1,,1,,,,,1,69人（2.7平方メートルあたり1人）,,,
36,赤木高齢者ふれあい憩いの家,アカギコウレイシャフレアイイコイノイエ,和歌山県海草郡紀美野町赤木311,,34.135662,135.386232,,,,303046,和歌山県,紀美野町,1,1,,1,,,,,1,14人（2.1平方メートルあたり1人）,,,
37,桂瀬集会所,カツラセシュウカイショ,和歌山県海草郡紀美野町桂瀬127,,34.135634,135.401243,,,,303046,和歌山県,紀美野町,,1,,1,,,,,1,25人（2平方メートルあたり1人）,,,
38,国吉多目的集会所,クニヨシタモクテキシュウカイショ,和歌山県海草郡紀美野町田64,,34.182521,135.479698,,,,303046,和歌山県,紀美野町,,1,,1,,,,,1,30人（2平方メートルあたり1人）,,,
39,滝ノ川集会所,タキノガワシュウカイショ,和歌山県海草郡紀美野町滝ﾉ川402,,34.129723,135.429725,,,,303046,和歌山県,紀美野町,,,,1,,,,,1,25人（2平方メートルあたり1人）,,,
40,転作研修会館,テンサクケンシュウカイカン,和歌山県海草郡紀美野町小西310-6,,34.157978,135.311972,,,,303046,和歌山県,紀美野町,,,,1,,,,,1,25人（2平方メートルあたり1人）,,,
41,毛原中集会所,ケバラナカシュウカイショ,和歌山県海草郡紀美野町毛原中178-2,,34.158365,135.456944,,,,303046,和歌山県,紀美野町,1,1,,1,,,,,1,12人（2平方メートルあたり1人）,,,
42,旧長谷毛原中学校体育館,キュウハセケバラチュウガッコウタイイクカン,和歌山県海草郡紀美野町毛原宮222,,34.163241,135.304997,,,,303046,和歌山県,紀美野町,,,,1,,,,,1,168人（2.7平方メートルあたり1人）,,,
43,長谷宮集落センター,ハセミヤシュウラクセンター,和歌山県海草郡紀美野町長谷宮223-2,,34.148576,135.448736,,,,303046,和歌山県,紀美野町,1,1,,1,,,,,1,47人（2平方メートルあたり1人）,,,
44,真国区民センター,マクニクミンセンター,和歌山県海草郡紀美野町真国宮32-2,,34.156524,135.342412,,(073)497-0002,,303046,和歌山県,紀美野町,1,1,,1,,,,,1,67人（2.7平方メートルあたり1人）,,,
45,上真国多目的集会所,カミマクニタモクテキシュウカイショ,和歌山県海草郡紀美野町花野原351-6,,34.169582,135.374643,,,,303046,和歌山県,紀美野町,1,,,1,,,,,1,30人（2平方メートルあたり1人）,,,
46,円明寺集会所,エンミョウジシュウカイショ,和歌山県海草郡紀美野町円明寺202-1,,34.168193,135.412054,,,,303046,和歌山県,紀美野町,1,1,,1,,,,,1,23人（2平方メートルあたり1人）,,,
47,勝谷集会所,カチヤシュウカイショ,和歌山県海草郡紀美野町勝谷181-2,,34.171197,135.435612,,,,303046,和歌山県,紀美野町,1,1,,1,,,,,1,19人（2.1平方メートルあたり1人）,,,
48,四郷集会所,ヨゴウシュウカイショ,和歌山県海草郡紀美野町四郷134,,34.181415,135.413615,,,,303046,和歌山県,紀美野町,1,1,,1,,,,,1,11人（2.1平方メートルあたり1人）,,,
49,長谷毛原健康センター,ハセケバラケンコウセンター,和歌山県海草郡紀美野町毛原宮172-2,,34.159846,135.461483,,,,303046,和歌山県,紀美野町,1,1,,1,,,,,1,142人（2.7平方メートルあたり1人）,,,
